关卡序号,最大币值,目标分数,目标分数2,目标分数3,目标连击,游戏时间,数据ID,子ID,最大币值2,
1,3,300,300,300,12,300,1,1,3,
2,3,2000,2000,2000,12,300,2,2,4,
3,3,2100,2100,2100,12,300,3,3,5,
4,3,2000,2000,2000,12,300,4,4,6,
5,4,3500,3500,3500,12,300,5,5,7,
6,4,8000,8000,8000,12,300,6,6,8,
7,4,9000,9000,9000,12,300,7,7,9,
8,5,10000,11000,13000,12,300,8,8,10,
9,5,12000,14200,15800,14,300,9,9,11,
10,5,13500,14500,16000,14,300,10,10,12,
11,5,14500,15500,17000,12,300,11,11,13,
12,5,14500,15500,17000,12,300,12,12,14,
13,5,15500,16500,18000,12,300,13,13,15,
14,5,15000,16000,17500,12,300,14,14,16,
15,5,17000,18000,19500,12,300,15,15,17,
16,6,21500,22500,24000,12,300,16,16,18,
17,6,22500,23500,25000,15,300,17,17,19,
18,6,20500,21500,23000,14,300,18,18,20,
19,6,24500,25500,27000,15,300,19,19,20,
20,6,19500,20500,22000,13,300,20,20,20,
21,6,27500,28500,30000,12,300,21,21,20,
22,6,28500,29500,31000,15,300,22,22,20,
23,6,29500,30500,32000,15,300,23,23,21,
24,6,29500,30500,32000,15,300,24,24,21,
25,6,26500,27500,29000,14,300,25,25,21,
26,7,33500,34500,36000,15,300,26,26,21,
27,7,34500,35500,37000,15,300,27,27,21,
28,7,36500,37500,39000,15,300,28,28,21,
29,7,36500,37500,39000,15,300,29,29,21,
30,7,37500,38500,40000,14,300,30,30,21,
31,7,44500,45500,47000,16,300,31,31,25,
32,7,40500,41500,43000,15,300,32,32,25,
33,7,40500,41500,43000,14,300,33,33,25,
34,7,37500,38500,40000,14,300,34,34,25,
35,7,37500,38500,40000,14,300,35,35,25,
36,8,44500,45500,47000,14,300,36,36,25,
37,8,42500,43500,45000,14,300,37,37,25,
38,8,47500,48500,50000,15,300,38,38,26,
39,8,42500,43500,45000,14,300,39,39,26,
40,8,38500,39500,41000,12,300,40,40,26,
41,8,44500,45500,47000,12,300,41,41,26,
42,8,44500,45500,47000,12,300,42,42,26,
43,8,52500,53500,55000,12,300,43,43,26,
44,8,57500,58500,60000,16,300,44,44,26,
45,8,59500,60500,62000,16,300,45,45,26,

